代码	名称	发行总额(亿元)	期限(年)	发行价格	票面利率(发行参考利率)(%)	息票品种	附息利率类型	付息频率	发行日期	起息日期	到期日期	剩余年限(年)	债券信用评级	债券评级类型	债券评级机构	债券评级日期	主体信用评级	主体评级类型	主体评级机构	主体评级日期	担保人	担保方式	是否跨市场	GICS一级行业	GICS二级行业	GICS三级行业	GICS四级行业	发行公告日期	上市公告日期	上市日期	承销方式	发行费率	发行人	发行人类型	交易市场	交易状态	债券类型	省份	城市
1580211.IB	15温州铁投债	7	15	100	5.04	附息	累进利率	1年1次	2015/8/26	2015/8/27	2030/8/27	14.874	AA	长期信用评级	联合资信评估有限公司	2015/8/18	AA	长期信用评级	联合资信评估有限公司	2015/8/18			TRUE	工业	资本货物	综合类Ⅲ	综合类行业	2015/8/19	2015/9/1	2015/9/2	余额包销		温州市铁路与轨道交通投资集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	浙江省	温州市
1580193.IB	15洪轨债02	36	15	100	5.07	附息	累进利率	1年1次	2015/7/31	2015/8/3	2030/8/3	14.8082	AA+	长期信用评级	联合信用评级有限公司	2015/7/17	AA+	长期信用评级	联合信用评级有限公司	2015/7/17			TRUE	工业	资本货物	综合类Ⅲ	综合类行业	2015/7/24	2015/8/5	2015/8/6	余额包销		南昌轨道交通集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	江西省	南昌市
1580108.IB	15武汉地铁01	18	15	100	5.18	附息	累进利率	1年1次	2015/4/13	2015/4/14	2030/4/14	14.5041	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			TRUE	工业	运输	交通基础设施	公路与铁路	2015/4/3	2015/4/21	2015/4/22	余额包销		武汉地铁集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	湖北省	武汉市
101464046.IB	14豫铁投MTN001	15	15	100	5.92	附息	累进利率	1年1次	2014/11/14	2014/11/18	2029/11/18	14.1014	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/9/30	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/9/30			FALSE	工业	运输	交通基础设施	公路与铁路	2014/11/7	2014/11/18	2014/11/19	余额包销		河南铁路投资有限责任公司	地方国有企业	银行间债券市场	上市	一般中期票据	河南省	郑州市
127017.SH	14粤高债	20	15	100	5.4	附息	固定利率	1年1次	2014/10/28	2014/10/29	2029/10/29	14.0466	AAA	长期信用评级	大公国际资信评估有限公司	2015/5/28	AA+	长期信用评级	大公国际资信评估有限公司	2015/5/28	广东省交通集团有限公司	不可撤销连带责任担保	TRUE	工业	运输	交通基础设施	公路与铁路	2014/10/21	2014/12/2	2014/12/3	余额包销		广东省高速公路有限公司	地方国有企业	上海证券交易所	上市	一般企业债	广东省	广州市
1480545.IB	14广东高速债	20	15	100	5.4	附息	固定利率	1年1次	2014/10/28	2014/10/29	2029/10/29	14.0466	AAA	长期信用评级	大公国际资信评估有限公司	2015/5/28	AA+	长期信用评级	大公国际资信评估有限公司	2015/5/28	广东省交通集团有限公司	不可撤销连带责任担保	TRUE	工业	运输	交通基础设施	公路与铁路	2014/10/21	2014/11/4	2014/11/5	余额包销		广东省高速公路有限公司	地方国有企业	银行间债券市场	上市	一般企业债	广东省	广州市
101471004.IB	14国联MTN001	5	15	100	6.05	附息	累进利率	1年1次	2014/10/15	2014/10/16	2029/10/16	14.011	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/7/30			FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/10/9	2014/10/16	2014/10/17	余额包销		无锡市国联发展(集团)有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	江苏省	无锡市
1480527.IB	14京保障房债	25	15	100	5.3	附息	累进利率	1年1次	2014/10/14	2014/10/15	2029/10/15	14.0082	AAA	长期信用评级	大公国际资信评估有限公司	2015/9/25	AAA	长期信用评级	大公国际资信评估有限公司	2015/9/25			FALSE	金融	房地产	房地产投资信托	住宅房地产投资信托	2014/10/8	2014/10/23	2014/10/24	余额包销		北京市保障性住房建设投资中心	地方国有企业	银行间债券市场	上市	一般企业债	北京	北京市
101454056.IB	14青国投MTN001	40	15	100	6.7	附息	固定利率	1年1次	2014/10/8	2014/10/10	2029/10/10	13.9945	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2014/9/28	2014/10/10	2014/10/11	余额包销		青海省国有资产投资管理有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	青海省	西宁市
124966.SH	14京国资	45	15	100	5.28	附息	累进利率	1年1次	2014/9/15	2014/9/16	2029/9/16	13.9288	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/29	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/22			TRUE	金融	多元金融	多元金融服务	多领域控股	2014/9/5	2014/10/23	2014/10/24	余额包销		北京国有资本经营管理中心	地方国有企业	上海证券交易所	上市	一般企业债	北京	北京市
1480506.IB	14京国资债	45	15	100	5.28	附息	累进利率	1年1次	2014/9/15	2014/9/16	2029/9/16	13.9288	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/29	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/22			TRUE	金融	多元金融	多元金融服务	多领域控股	2014/9/5	2014/9/24	2014/9/25	余额包销		北京国有资本经营管理中心	地方国有企业	银行间债券市场	上市	一般企业债	北京	北京市
121401001.IB	14郑州地坤PRN001A	4	15	100	7.5	附息	固定利率	1年1次	2014/7/14	2014/7/15	2029/7/15	13.7562									中债信用增进投资股份有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/7/17			余额包销		郑州交投地坤实业有限公司		等待银行间或交易所上市	待上市	一般中期票据	河南省	郑州市
121401002.IB	14郑州地坤PRN001B	1	15	100	8.2	附息	固定利率	1年1次	2014/7/14	2014/7/15	2029/7/15	13.7562									中债信用增进投资股份有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2014/7/17			余额包销		郑州交投地坤实业有限公司		等待银行间或交易所上市	待上市	一般中期票据	河南省	郑州市
101456022.IB	14鄂交投MTN001(15年期)	10	15	100	6.8	附息	固定利率	1年1次	2014/5/7	2014/5/8	2029/5/8	13.5699	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/24	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/26			FALSE	工业	运输	交通基础设施	公路与铁路	2014/5/4	2014/5/8	2014/5/9	余额包销		湖北省交通投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	湖北省	武汉市
101454017.IB	14鲁高速MTN001	30	15	100	6.7	附息	固定利率	1年1次	2014/4/28	2014/4/30	2029/4/30	13.5479	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	工业	运输	交通基础设施	公路与铁路	2014/4/21	2014/4/30	2014/5/4	余额包销		山东高速集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	山东省	济南市
1480229.IB	14首发债	14	15	100	6.28	附息	累进利率	1年1次	2014/4/21	2014/4/21	2029/4/21	13.5233	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26			FALSE	工业	运输	公路与铁路运输	公路运输	2014/4/17	2014/4/25	2014/4/28	余额包销		北京市首都公路发展集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	北京	北京市
124662.SH	14京投债	50	15	100	6.25	附息	累进利率	1年1次	2014/4/16	2014/4/16	2029/4/16	13.5096	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	A1	长期信用评级	穆迪公司	2015/7/9			TRUE	工业	运输	公路与铁路运输	公路运输	2014/4/14	2014/5/16	2014/5/19	余额包销		北京市基础设施投资有限公司	地方国有企业	上海证券交易所	上市	一般企业债	北京	北京市
1480206.IB	14京投债	50	15	100	6.25	附息	累进利率	1年1次	2014/4/16	2014/4/16	2029/4/16	13.5096	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	A1	长期信用评级	穆迪公司	2015/7/9			TRUE	工业	运输	公路与铁路运输	公路运输	2014/4/14	2014/4/22	2014/4/23	余额包销		北京市基础设施投资有限公司	地方国有企业	银行间债券市场	上市	一般企业债	北京	北京市
101354023.IB	13青国投MTN002	30	15	100	7.2	附息	固定利率	1年1次	2013/11/21	2013/11/25	2028/11/25	13.1205	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2013/11/18	2013/11/25	2013/11/26	余额包销		青海省国有资产投资管理有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	青海省	西宁市
101373005.IB	13宁城建MTN003	9.8	15	100	7.34	附息	累进利率	1年1次	2013/11/18	2013/11/19	2028/11/19	13.1041	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29			FALSE	金融	多元金融	多元金融服务	多领域控股	2013/11/13	2013/11/19	2013/11/20	余额包销		南京市城市建设投资控股(集团)有限责任公司	地方国有企业	银行间债券市场	上市	一般中期票据	江苏省	南京市
124416.SH	13鄂投02	25	15	100	6.18	附息	累进利率	1年1次	2013/10/28	2013/10/28	2028/10/28	13.0438	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/24	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/26			TRUE	工业	运输	交通基础设施	公路与铁路	2013/10/24	2013/11/19	2013/11/20	余额包销		湖北省交通投资集团有限公司	地方国有企业	上海证券交易所	上市	一般企业债	湖北省	武汉市
1380340.IB	13鄂交投债02	25	15	100	6.18	附息	累进利率	1年1次	2013/10/28	2013/10/28	2028/10/28	13.0438	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/24	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/26			TRUE	工业	运输	交通基础设施	公路与铁路	2013/10/24	2013/11/5	2013/11/6	余额包销		湖北省交通投资集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	湖北省	武汉市
101354012.IB	13青国投MTN001	30	15	100	6.38	附息	固定利率	1年1次	2013/8/13	2013/8/14	2028/8/14	12.8384	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26			FALSE	金融	多元金融	多元金融服务	多领域控股	2013/8/6	2013/8/14	2013/8/15	余额包销		青海省国有资产投资管理有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	青海省	西宁市
1382212.IB	13鄂交投MTN1	40	15	100	5.67	附息	固定利率	1年1次	2013/5/9	2013/5/10	2028/5/10	12.5753	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/24	AAA	长期信用评级	大公国际资信评估有限公司	2015/8/26			FALSE	工业	运输	交通基础设施	公路与铁路	2013/5/6	2013/5/10	2013/5/13	余额包销		湖北省交通投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	湖北省	武汉市
1382205.IB	13粤交通MTN2	15	15	100	5.39	附息	固定利率	1年1次	2013/4/24	2013/4/25	2028/4/25	12.5342	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/23	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/23			FALSE	工业	运输	交通基础设施	公路与铁路	2013/4/19	2013/4/25	2013/4/26	余额包销		广东省交通集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	广东省	广州市
1380144.IB	13粤路建债	20	15	100	5.44	附息	固定利率	1年1次	2013/3/29	2013/3/29	2028/3/29	12.4603	AAA	长期信用评级	大公国际资信评估有限公司	2015/5/21	AA+	长期信用评级	大公国际资信评估有限公司	2015/5/21	广东省交通集团有限公司	不可撤销连带责任担保	FALSE	工业	运输	交通基础设施	公路与铁路	2013/3/28	2013/4/9	2013/4/10	余额包销		广东省公路建设有限公司	地方国有企业	银行间债券市场	上市	一般企业债	广东省	广州市
1382043.IB	13粤交通MTN1	5	15	100	5.59	附息	固定利率	1年1次	2013/1/29	2013/1/30	2028/1/30	12.2986	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/23	AAA	长期信用评级	大公国际资信评估有限公司	2015/7/23			FALSE	工业	运输	交通基础设施	公路与铁路	2013/1/22	2013/1/30	2013/1/31	余额包销		广东省交通集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	广东省	广州市
1382011.IB	13宁城建MTN1	10	15	100	5.8	附息	累进利率	1年1次	2013/1/11	2013/1/14	2028/1/14	12.2548	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/29			FALSE	金融	多元金融	多元金融服务	多领域控股	2013/1/6	2013/1/14	2013/1/15	余额包销		南京市城市建设投资控股(集团)有限责任公司	地方国有企业	银行间债券市场	上市	一般中期票据	江苏省	南京市
1280188.IB	12广东高速债	15	15	100	5.36	附息	固定利率	1年1次	2012/6/26	2012/6/26	2027/6/26	11.7014	AAA	长期信用评级	大公国际资信评估有限公司	2015/5/28	AA+	长期信用评级	大公国际资信评估有限公司	2015/5/28	广东省交通集团有限公司	不可撤销连带责任担保	FALSE	工业	运输	交通基础设施	公路与铁路	2012/6/25	2012/7/3	2012/7/4	余额包销		广东省高速公路有限公司	地方国有企业	银行间债券市场	上市	一般企业债	广东省	广州市
078012.IB	07豫投债2	15	20	100	4.62	附息	固定利率	1年1次	2007/5/17	2007/5/17	2027/5/17	11.5918	AAA	长期信用评级	联合资信评估有限公司	2015/6/26	AAA	长期信用评级	联合资信评估有限公司	2015/6/26	国家开发银行股份有限公司	不可撤销连带责任担保	FALSE	工业	资本货物	综合类Ⅲ	综合类行业	2007/5/17	2007/5/24	2007/5/25	余额包销		河南投资集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	河南省	郑州市
068015.BC	06鲁高速债(柜台)	10	20	100	4.1	附息	固定利率	1年1次	2006/4/7	2006/4/7	2026/4/7	10.4822	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	中国农业银行山东省分行	不可撤销连带责任担保	TRUE	工业	运输	交通基础设施	公路与铁路	2006/4/6	2006/4/19	2006/4/20	余额包销		山东高速集团有限公司	地方国有企业	银行柜台市场	上市	一般企业债	山东省	济南市
068015.IB	06鲁高速债	10	20	100	4.1	附息	固定利率	1年1次	2006/4/7	2006/4/7	2026/4/7	10.4822	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	中国农业银行山东省分行	不可撤销连带责任担保	TRUE	工业	运输	交通基础设施	公路与铁路	2006/4/6	2006/4/19	2006/4/20	余额包销		山东高速集团有限公司	地方国有企业	银行间债券市场	上市	一般企业债	山东省	济南市
120608.SH	06鲁高速	10	20	100	4.1	附息	固定利率	1年1次	2006/4/7	2006/4/7	2026/4/7	10.4822	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/26	AAA	长期信用评级	大公国际资信评估有限公司	2015/6/26	中国农业银行山东省分行	不可撤销连带责任担保	TRUE	工业	运输	交通基础设施	公路与铁路	2006/4/6	2007/1/6	2007/1/8	余额包销		山东高速集团有限公司	地方国有企业	上海证券交易所	上市	一般企业债	山东省	济南市
068012.BC	06冀建投债(柜台)	10	20	100	4.18	附息	固定利率	1年1次	2006/3/28	2006/3/28	2026/3/28	10.4548	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	中国农业银行河北省分行	不可撤销连带责任担保	TRUE	工业	资本货物	综合类Ⅲ	综合类行业	2006/3/28	2006/4/5	2006/4/6	余额包销		河北建设投资集团有限责任公司	地方国有企业	银行柜台市场	上市	一般企业债	河北省	石家庄市
068012.IB	06冀建投债	10	20	100	4.18	附息	固定利率	1年1次	2006/3/28	2006/3/28	2026/3/28	10.4548	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	中国农业银行河北省分行	不可撤销连带责任担保	TRUE	工业	资本货物	综合类Ⅲ	综合类行业	2006/3/28	2006/4/5	2006/4/6	余额包销		河北建设投资集团有限责任公司	地方国有企业	银行间债券市场	上市	一般企业债	河北省	石家庄市
120602.SH	06冀建投	10	20	100	4.18	附息	固定利率	1年1次	2006/3/28	2006/3/28	2026/3/28	10.4548	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/6/25	中国农业银行河北省分行	不可撤销连带责任担保	TRUE	工业	资本货物	综合类Ⅲ	综合类行业	2006/3/28	2006/4/14	2006/4/18	余额包销		河北建设投资集团有限责任公司	地方国有企业	上海证券交易所	上市	一般企业债	河北省	石家庄市
101463004.IB	14豫交投MTN001	23.5	12	100	8.5	附息	累进利率	1年1次	2014/3/6	2014/3/7	2026/3/7	10.3973	AA+	长期信用评级	大公国际资信评估有限公司	2015/7/28	AA+	长期信用评级	大公国际资信评估有限公司	2015/7/28			FALSE	工业	运输	交通基础设施	公路与铁路	2014/2/27	2014/3/7	2014/3/10	余额包销		河南交通投资集团有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	河南省	郑州市
1080112.IB	10冀交通债	20	15	100	4.95	附息	固定利率	1年1次	2010/9/28	2010/9/28	2025/9/28	9.9589	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/5/27	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/5/27	河北建设投资集团有限责任公司	不可撤销连带责任担保	TRUE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2010/9/27	2010/10/15	2010/10/18	余额包销		河北建投交通投资有限责任公司	地方国有企业	银行间债券市场	上市	一般企业债	河北省	石家庄市
122885.SH	10冀交通	20	15	100	4.95	附息	固定利率	1年1次	2010/9/28	2010/9/28	2025/9/28	9.9589	AAA	长期信用评级	中诚信国际信用评级有限责任公司	2015/5/27	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/5/27	河北建设投资集团有限责任公司	不可撤销连带责任担保	TRUE	工业	资本货物	建筑与工程Ⅲ	建筑与工程	2010/9/27	2010/11/25	2010/11/26	余额包销		河北建投交通投资有限责任公司	地方国有企业	上海证券交易所	上市	一般企业债	河北省	石家庄市
101556036.IB	15宁交投MTN001	10	10	100	4.55	附息	累进利率	1年1次	2015/9/16	2015/9/17	2025/9/17	9.9288	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/9/8	AA+	长期信用评级	中诚信国际信用评级有限责任公司	2015/9/8			FALSE	工业	运输	交通基础设施	公路与铁路	2015/9/11	2015/9/17	2015/9/18	余额包销		宁波交通投资控股有限公司	地方国有企业	银行间债券市场	上市	一般中期票据	浙江省	宁波市
